Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0
swift,2014,4.60,6.87,42450,Diesel,Dealer,Manual,0
vitara brezza,2018,9.90,9.83,2071,Petrol,Dealer,Manual,0
ciaz,2015,10.85,10.85,28000,Diesel,Dealer,Manual,0
ignis,2017,4.60,5.45,9000,Petrol,Dealer,Manual,0
alto 800,2009,2.50,4.10,28000,Petrol,Dealer,Manual,0
fortuner,2009,18.00,36.23,50000,Diesel,Dealer,Manual,0
fortuner,2010,14.75,36.23,93000,Diesel,Dealer,Manual,0
fortuner,2013,18.50,30.61,31000,Diesel,Dealer,Manual,0
innova,2013,14.75,17.80,43000,Diesel,Dealer,Manual,0
innova,2009,8.00,17.80,115000,Diesel,Dealer,Manual,0
swift,2018,8.70,6.87,9000,Petrol,Dealer,Manual,0
corolla altis,2014,15.00,15.70,27000,Petrol,Dealer,Manual,0
fortuner,2016,20.90,30.65,16000,Diesel,Dealer,Manual,0
innova,2010,12.50,17.80,100000,Diesel,Dealer,Manual,0
fortuner,2012,17.50,30.61,75000,Diesel,Dealer,Manual,0
corolla altis,2012,11.00,15.70,26000,Petrol,Dealer,Manual,0
verna,2017,13.25,16.45,27000,Petrol,Dealer,Manual,0
fortuner,2012,15.50,30.61,75000,Diesel,Dealer,Automatic,0
innova,2012,10.70,17.80,93000,Diesel,Dealer,Manual,0
corolla altis,2015,13.50,15.70,18000,Petrol,Dealer,Manual,0
verna,2018,13.00,13.00,5000,Petrol,Dealer,Manual,0
verna,2015,13.00,16.95,35000,Diesel,Dealer,Manual,0
innova,2011,8.50,17.80,97000,Diesel,Dealer,Manual,0
ertiga,2014,8.00,9.84,55000,CNG,Dealer,Manual,0
ertiga,2016,10.00,8.66,45000,Diesel,Dealer,Manual,0
ciaz,2017,9.50,9.85,10000,Petrol,Dealer,Manual,0
innova,2008,6.50,17.80,90000,Diesel,Dealer,Manual,0
city,2012,9.50,11.60,33000,Petrol,Dealer,Manual,0
city,2015,11.20,11.60,25000,Petrol,Dealer,Manual,0
verna,2017,9.50,13.45,22000,Petrol,Dealer,Manual,0
city,2015,12.80,12.89,9499,Diesel,Dealer,Manual,0
verna,2016,10.00,14.47,27000,Petrol,Dealer,Manual,0
city,2016,9.00,11.60,50000,Petrol,Dealer,Manual,0
